	pl	csb
6115	Niektóre zmiany, m. in dotyczące antyaliasingu, zostaną uwzględnione jedynie w nowo uruchamianych programach.	Niejedné zmianë, m. jin tikającé sã antyaliasingù, bãdą robiłe blós w nowò zrëszanych aplikacëjach.
6116	Lewo	Lewi
6117	Polecenie% 1 potrzebuje podania liczby jako argumentu.	Pòlét% 1 akceptëje le lëczbã jakò swój parameter.
6118	Wartość całkowita	Całownô wôrtnota
6119	Urządzenie SolidName	Ùrządzenia USBName
6120	Zastosować zmiany przed wyszukiwaniem wtyczek? W przeciwnym razie zmiany zostaną utracone.	Chesz wprowadzëc zmianë przed szëkbą za wtëkôczama? Jinaczi zmianë ùtracą sã.
6121	Azja/ Aqtobe	Azëjô/ Aqtobe
6122	Modyfikuj profil...	Editëjë profil...
6123	Zapora sieciowa (urządzenie, ograniczające dostęp internetowy) albo zabezpieczająca Twoją sieć, albo sieć serwera, mogła zablokować Twoje żądanie.	Sécowô · ògniowô scana (ùrządzenié ògrańczającé przistãp do nétë) abò zazychrowùjącô twòją séc, czë téż séc serwera, mògła zablokòwac twòje żądanié.
6124	Uruchom ponownie po zadaniu	Zrëszë znowa pò robòce
6125	Zestawy skrótów	Schemë skrodzënów
6126	Operacje	Fùnkcje
6127	Przeglądarka FTPName	Przezérnik FTPName
6128	Środek	Wëstrzódno
6129	To jest lista plików do otwarcia. Można podać kilka plików, rozdzielając nazwy je spacjami.	To je lësta lopków do òtemkniãcô. Mòże pòdac czile lopków, rozparłãczając miona spacjama.
6130	Czyszczenie zakończone.	Czëszczënié zakùńczoné.
6131	Układ okresowy pierwiastków dla KDEGenericName	Tôfla òkresowëch pierwińców dlô KDEGenericName
6132	Strony informacji (info)	Starnë wëdowiédzë (info)
6133	Programista z podstawowego zespołu	Przédny programista
6134	Cel:	Cél:
6135	Ogólne usprawnienia	Òglowé pòprôwczi
6136	Podajnik 7	Pòdajnik 7
6137	Wyślij & identyfikację	Wëslë & identifikacëjã
6138	Alephone - Bez OpenGLComment	Alephone - bez OpenGLComment
6139	Ameryka/ Indianapolis	Amerika/ Indianapolis
6140	Informacje o dostawcy	Wëdowiédzã dowòznika
6141	Przerwanie (INT)	Przerwi (INT)
6142	Jestem członkiem	Jem nôleżnikã
6143	Zapisz jako...	Zapiszë jakno...
6144	Następne zadanie na nowej kartce	Pòstãpnô robòta na nowim cedelkù
6145	Rozmiar próbki	Miara próbczi
6146	& Działania@ title: menu	& Dzejania@ title: menu
6147	Wyłącz wszystkie włączone czcionki z aktualnej grupy	Wëłączë wszëtczé włączoné fòntë w aktualnym karnie
6148	Wyspy NorfolkName	Òstrowë NorfolkName
6149	ta usługa nie jest dostępna dla tej wtyczki	na ùsłëżnota nie mô wspiarcô dlô tegò wtëkôcza
6150	Znak, zamykający	Céch, zamëkajacy
6151	Pokaż zamknięte połączenia	Pòkôżë zamkłé pòłączenia
6152	Amerykański Foolscap	Amerikańsczi Foolscap
6153	Europa/ Mińsk	Eùropa/ Mińsk
6154	To jest język używany, kiedy brak tłumaczenia dla poprzednich języków.	To jãzëk brëkòwóny przë felënkù dolmaczënkù dlô domëszlnegò jãzëka.
6155	Okno logowania	Òkno logòwaniô
6156	(c) 1999- 2008, Autorzy Konquerora	(C) 1999- 2008, Ùsôdzcë Konquerora
6157	Ikona do wykorzystania w oknie hasła	Ikòna do wëzwëskaniô w òknie paroli
6158	360x360dpi, papier do wysokich rozdzielczości	360x360dpi, papiór do wësoczich rozdzélnotów
6159	Konfiguracja indeksowania plików	Kònfigùrëjë indeksownika lopków
6160	% 1,% 2 nie zdefiniowane	% 1,% 2 nie zdefiniowóné
6161	Powiadomienie o zdarzeniu krytycznymName	Dôwô kriticzną wiedzãName
6162	Azja/ Hong_ Kong	Azëjô/ Hong_ Kong
6163	"Adres wysyłkowy - 2 5/ 16 x 4 """	"Wësélnô adresa - 2 5/ 16 x 4 """
6164	Proszę wybrać język, którego ma używać ten program:	Proszã wëbrac jãzëk jaczi miôł bë bëc brëkòwóny dlô ti programë:
6165	Ustawienia listy widoków	Nastôwë listë wëzdrzatków
6166	Pasek narzędzi	Listew nôrzãdzów
6167	HiszpaniaName	SzpańskôName
6168	Czas działania	Czas dzejaniô
6169	LuksemburgName	LuksembùrskôName
6170	Pokaż datę	Wëskrzëni datum dnia
6171	Konwersja bazy Nepomuka	Kònwertowanié bazë pòdôwków Nepomuka
6172	Biblioteka	Bibliotéka
6173	Ładowanie akumulatora	Ladownié baterëjów
6174	Aktualna strefa czasowa:% 1 (% 2)	Aktualnô môlowô czasowô cona:% 1 (% 2)
6175	Frank rwandyjskiName	Ruandzczi FrankName
6176	Pokaż wszystkie stronyQPrintPreviewDialog	QShortcut
6177	Zmień na pulpit 1Comment	Skòknie na pùlt 1Comment
6178	Sprawdź poprawność dokumentu	Sprôwdzë bezzmiłkòwosc dokùmentu
6179	Rozmiar i orientacjaComment	Miara ë pòłóżeniéComment
6180	Podgląd w	Pòdzerk w
6181	Nie można znaleźć nadrzędnego elementu% 1 w drzewie. Błąd wewnętrzny. @ label	Ni mòże nalezc nôdrzãdnegò elementu% 1 w drzewie. Bënowô fela. @ label
6182	& Następny	& Pòstãpny
6183	Pasek & narzędzi:	Listëw & nôrzãdzów:
6184	mount	zamòntëjë
6185	& Rozpocznij rejestrację	& Naczni registrowanié
6186	Proszę zgłaszać błędy do% 1.	Zgłoszë rapòrtë ò felach do% 1.
6187	Nowe dokumenty	Òtemkniãté dokùmentë
6188	6 (Portret)	6 (Pòrtret)
6189	Interpunkcja, cudzysłów zamykający	Interpùnkcëjô, zamëkajacy naprowôdnik
6190	Automatyczne odświeżanie:	Aùtomatné òdswiéżanié:
6191	Pokaż dostępne polecenia w podziale na domeny	Pòkôżë przëstãpny pòlétë pò domenach
6192	"na przykład ""txt"" Name"	na przëmiôr txtName
6193	Modularny syntetyzator AlsyName	Mòdułowi systezatora AlsaName
6194	Szyling tanzańskiName	Tanzanëjsczi SzilingName
6195	dict. cc: niemiecki - > angielskiQuery	dict. cc: miemiecczi - > anielscziQuery
6196	Informacje o procesachGenericName	Wëdowiédzô ò procesachGenericName
6197	Hasło administratora (root):	Parola dlô sprôwnika:
6198	Północny SamiName	Nordowi SamiName
6199	Skala pozioma	Hòrizontalnô skala
6200	To nie jest katalog	To nie je katalog
6201	Ustawienia zdjęć	Ùstowë òbrazków
6202	Tryb oszczędzania energii po drukowaniu	Trib òbszcządzaniô enerdżiji po drëkù
6203	^Wypróbuj Kubuntu bez instalowania	^Wëpróbùjë Kubuntu bez instalacëji
6204	Pliki list odtwarzania na dysku	Lopczi lëstë gróniô
6205	Jeśli ta opcja jest włączona, tylko użytkownicy z podanej grupy będą mogli nagrywać płyty CD i DVD, ponieważ tylko oni będą mieli dostęp do urządzeń i programów nagrywających płyty używanych przez K3b. W przeciwnym wypadku wszyscy użytkownicy będą mieli dostęp do urządzeń i do wszystkich funkcji K3b.	Jeżlë na òptacëjô je włączonô, to le blós brëkòwnicë z pòdónegò karna bãdą miele mòżnotã wëpôlaniô platów CD ë DVD, temù że to blós òni bãdą mielë przistãp do wëpôlającëch ùrządzeniów ë programów ùżëwónëch przez K3b. W procëmnëm przëtrôfkù wszëtcë brëkòwnicë bãdą mielë przistãp do ùrządzeniów ë wszëtczich fùnkcëji K3b.
6206	Nie udało się pobrać informacji z Dailymotion:% 1	Ni mòże wëdostaw wëdowiédzë z Dailymotion:% 1
6207	Nie można obliczyć LCM zera.	Rachùjë wësłów
6208	Nie można uzyskać informacji o podsystemie SCSI: nie można uruchomić / sbin/ camcontrol.	Pòdsystema SCSI nié mòże bëc òdwòłanô: / sbin/ camcontrol nie je wëkònywólny
6209	Wygląda na to, że w Twoim systemie nie można odczytać tych informacji.	Twòjô systema nie dôwô przëstspù do nóterny wëdowiédzë.
6210	Źródło zdarzenia:	Zdrój dzejania:
6211	Czy chcesz wygenerować ślad wykonanych czynności? Pomoże to autorom zrozumieć przyczynę błędu. Niestety może to zająć trochę czasu na wolnych komputerach. Zwróć uwagę, że sam ślad wykonanych czynności nie zastąpi właściwego opisu błędu i informacji, jak go powtórzyć. Zwykle nie da się usunąć błędu bez dobrego opisu.	Chcesz wëgenerowac szlach dzejnotë? Pòmòże to ùsôdzcom zrozmiec przëczënã felë. Mòże to równak zabrac përznã czasu na wolnëch kòmpùtrach. Miej bôczënié, że sam szlach dzejnotów nie zastąpi pòprôwnegò òpisu felë ë wëdowiédzë ò nim. Zwëczajno nie dô sã pòprôwic feli bez dobregò òpisënkù.
6212	& Zapisz i zamknij	& Zapiszë ë zamkni
6213	Ustawienia	Nastawë
6214	To nie jest plik z grą KMahjongg.	Lopk nie je grą Mahjongg.
6215	Wiersz poleceńComment	Réga pòlétuComment
6216	SanskrytName	SanskritName
6217	Modyfikuj książkę & adresową	Editëjë & adresową knéżkã
6218	Importuj kartę & z pliku...	Impòrtëjë kôrtã & z lopka...
6219	Data modyfikacji	Datum mòdifkacëji
6220	Wpisz tu ścieżkę lub adres URL	Wpiszë tuwò stegnã abò URL
6221	Informacja o dostępności pakietu ht: // dig.	Wëdowédzô ò przistãpnocë paczétu ht: // dig.
6222	Okna mogą przykryć	Òkna mògą nachòdzëc na listwã
6223	Brak zezwolenia na przerwanie zaplanowanego wyłączenia: start of shutdown:	Felëjë zgòdë na przerwanié żdającegò wëłączëniô: start of shutdown:
6224	Przenieś do kosza	Przeniesë do kòsza
6225	Umieszczaj okno z lewej	Wsôdzë pòsobné òkna wertikalno
6226	Położenie zainstalowanych bibliotek Qt	Môl biblioteków zainstalowónégò Qt
6227	Formaty plików	Fòrmatë lopków
6228	Podawanie rolkowe (cięcie każdej strony)	Rolowé pòdawanié (tniãcé kòżdi starnë)
6229	Obsługa krytycznych błędów w KDE	Obsłużënk kriticznëch felów w KDE
6230	Opcje wyświetlania	Òptacëje wskôzëwôcza
6231	Usługa Nepomuka, która zarządza ontologiami zainstalowanymi w systemieName	Ùsłëżnota Nepomuka, jakô sprôwiô òntologijama winstalowónëmi w systemieName
6232	Zoptymalizowana akceleracja sprzętowa OpenGL dla starszych kart graficznych nVidia	Hardwôrowô akceleracjô OpenGL dlô starszëch kartów graficznëch NVidia
6233	Czysty (RGB -- > CMYK)	Czësti (RGB -- > CMYK)
6234	Podczas wczytywania modułu wystąpił błąd.	Pòkôza sã fela przë ladowaniu mòdułu.
6235	Uwaga: Identyfikacja komputera została zmieniona.	Bôczënk: Identifikacëjô kòmpùtra òsta zmienionô.
6236	Monitor stanu SambyName	Mònitor stónu SambëName
6237	& Zakładka	& Załóżka
6238	Nieznany utwórtrack from source	Nieznóny sztëczk
6239	Nie można otworzyć pliku motywu% 1	Nie mòże òtemknąc lopkù témë% 1
6240	KDE kończy pracęName	KDE òstanié zakùńczonéName
6241	300 dpi, kolor, bez marginesów, pojemniki czarny i kolorowy	300 dpi, farwa, felënk zberków, zabiérniczi czôrny i farwny
6242	Autorzy	Aùtorowie
6243	Frank szwajcarskiName	Szwajcarsczi FrankName
6244	Podajnik papieru PF- 80	Pòdajnik papióru PF- 80
6245	Uruchom jako & inny użytkownik	& Zrëszë jakò jiny brëkòwnik
6246	Mniejsze lub równe. leq (a, b) =a≤b	Mniésze abò równe. leq (a, b) =a≤b
6247	Odległość:	Dôlëzna:
6248	Normalizuje dźwięk poprzez maksymalne pogłośnienie bez zniekształcania go. Parametry: metoda: 1: użyj pojedynczej próbki, aby złagodzić wariacje poprzez standardowo wyważoną średnią poprzednich próbek (domyślna); 2: użyj kilku próbek, aby złagodzić wariacje poprzez standardowo wyważoną średnią poprzednich próbek.	Normalizëje aùdio bez maksymalizacëjã głosnoscë bez zesztôłcaniô zwãkù. Parametrë: metoda: 1: brëkùjë pòjedińczi próbczi bë głôdzëc wariacëje standardową strzédną pòprzédné próbczi (domëslnô); 2: brëkùjë wicy próbków bë wëgłôdzëc wariacëje sztandardową strzédną pòprzédné próbczi.
6249	Jeśli znasz autorów oprogramowania dla tego serwera, wyślij raport o błędzie bezpośrednio do nich.	Jeżlë znajesz ùsôdzców softwôrë dlô tegò serwera, to wësli rapòrt ò felë prosto do nich.
6250	O programie	Ò Qt
6251	Wszystkie obiekty	Wszëtczé obiekty
6252	QuadrosName	KwarcName
6253	600 dpi, kolor, bez marginesów, pojemnik z atramentem kolorowym	600 dpi, farwa, felënk zberków, zabiérnik z farwną tintą
6254	SzwecjaName	SzwedzkôName
6255	Kodowanie znaków	Kòdowanié céchów
6256	Frank środkowoafrykańskiName	Westrzódno Afrikańsczi FrankName
6257	Terminal@ item: inmenu	Kònsola@ item: inmenu
6258	ŁacińskiQFontDatabase	QFontDatabase
6259	Ulubione, programy, miejsca, ostatnio używane elementy i sesje pulpitu	Ùlëbnicë, aplikacëje, place kòmpùtra, terô brëkòwóné elementë ë sesëje pùltu
6260	Rysuj obramowania używając kolorów & paska tytułowego	Céchùjë ramë brëkùjąc farwów & titlowi listwë
6261	Użycie% 1% 2 - Prawa autorskie (C) % 3.	Brëkùnk% 1% 2 - Ùsôdzczi prawa (C) % 3.
6262	Włącz logowanie & bez hasła	Włączë logòwanié & bez paroli
6263	Ta karta zawiera niewysłane zmiany. Zamknięcie okna anuluje te zmiany.	Na kôrta zamëkô w se jesz nie wësłóné zmianë. Zamëkając to òknò niechôsz te zmianë.
6264	& Serwer:	Serwera:
6265	MauretaniaName	MaùretańskôName
6266	Dolny panel	Dolnô listew
6267	Nieznane słowo:	Nieznóné słowò:
6268	jest mniejszy niż	je mniészi jak
6269	Jeśli włączone, efekt będzie dezaktywowany po obróceniu walca za pomocą myszy, w przeciwnym wypadku pozostanie aktywny.	Przë aktiwacëji bãdze ten efekt zdeaktiwòwóny pò rëszeniô cylindra mëszą, Jinaczi efekt òstanie aktiwny.
6270	Kliknij tu myszką, by przejść do następnej przeglądanej strony.	Klëkni tuwò mëszą bë przeńc do zôstny przezéróny starnë.
6271	Przesyłanie utworu% 1 /% 2	Zladowónié sztëczka% 1 /% 2
6272	& Numer strony:	& Numer sztripka:
6273	& Powiadamianie na pasku zadań	& Òdkôzywanié na lëstwie dzejaniów
6274	Dostosowanie wygaszacza ekranu	Dopasëjë wëgaszôcz ekranu
6275	oczekiwana wersja w deklaracji XMLQXml	żdónô wersëjô w deklaracëji XMLQXml
6276	Polecenie/ URL	Pòlét/ URL
6277	Określa, czy wyszukiwany tekst ma być traktowany jak zwykły, czy jak wyrażenie regularne	Nastôwiô, czë szëkónô fraza mô bëc interpretowónô jakno zwëczajny tekst czë regùlarny wësłów
6278	Czcionka & bezszeryfowa:	& Bezszerifòwi fònt:
6279	Certyfikat SSL został odrzucony zgodnie z życzeniem. Możesz to zmienić w Centrum sterowania KDE.	Certifikat SSL òstôł òdrzucony zgòdno z żëczbą. Mòżesz to zmienic w Centróm kòntrolë KDE.
6280	Włącz wybrane czcionki	Wëbiérzë wszëtczé wëbróné fòntë
6281	1 - Rozszerzenie wyjścia o dużej pojemności	1 - Rozszérz wińdzeniô o wiôldżi zabiérnoce
6282	Zaangażuj się	Przëłączë sã
6283	"Inicjalizacja apletu ""% 1..."""	"Inicjalizacëjô apletu ""% 1..."""
6284	Kiedy połączenia FTP są pasywne, klient łączy się z serwerem, a nie odwrotnie, dzięki temu zapora ogniowa nie blokuje połączenia. Starsze serwery FTP mogą jednak nie obsługiwać trybu pasywnego.	Jak sparłãczenia FTP są pasiwné to klient parłãczy sã z serwerã, a nié apartno, dzãka temù ògniowô scana nie blokòje społãczenia. Stôrszé serwerë FTP mògą równak nié wspiérac pasiwnegò tribù.
6285	Rozpakuj tutaj	Rozpakùjë tuwò
6286	LitwaName	LëtewskôName
6287	Zmiękczenie zaznaczeniaundo-type	undo-type
6288	Przeszukiwanie muzyki	Przeszukiwanié mùzyczi
6289	Zakończ programyName	Zamkni apliakcëjãName
6290	Obrazki dla okien dialogowych	Òbrôzczi dlô dialogów
6291	Cieniuj	Ceniëjë
6292	Podziel widok na dwie części	Pòdzélë wëzdrzatk na dwa panele
6293	Zawieś	Zawiészë
6294	Obecne zajęcie procesora przez ten proces.	Aktualny brëkùnk procesora przez nen proces.
6295	Zarządzanie informacjami osobistymiName	PIMName
6296	Trwa łączenie...	Sparłãczenié...
6297	& Wczytaj	& Wladëjë
6298	Okienko konfiguracji	Òkno kònfigùracëji
6299	Użyj dla & przełączania okien	Ùżëjë do & zmianë òknów
6300	Zmiana nie powiodła się	Zmiana nie darzëła sã
6301	Usuń wybrany motyw z dysku	Rëmôj wëbróną témã z diskù
6302	Konfiguracja trybów widoku menadżera plikówName	Kònfigùracëjô ôrtów wëzdrzatkù menadżera lopkówName
6303	Znajdź ponownie@ info: tooltip	Znowi szëkbã@ info: tooltip
6304	& Zapisz wybrane	& Zapiszë wëbróné
6305	nie	nié
6306	JordaniaName	JordanijôName
6307	Rozszerzenie pliku źródła	Rozszérzenié lopkù zdroju
6308	Nie można zapisać do pliku BMP	Nie je mòżno zapisac do lopkù BMP
6309	Uniwersalny	Ùniwersalny
6310	Start przesuwania oknaComment	Przesëwanié òknów (Sztart) Comment
6311	XMDXP: niepoprawna wersja XDMCP.	XMDXP: lëchô wersëjô XDMCP.
6312	Nie znaleziono modułu% 1.	Ni nalazłi mòduł:% 1.
6313	Wolny rozmiar	Wòlny môl
6314	Ścieżka pliku	Stegna lopka
6315	Odtwarzacz DVDName	Grôcz DVDName
6316	Poprawianie czerni	Pòprawianié czôrnégò
6317	300 dpi, wydruk próbny, odcienie szarości, czarny atrament.	300 dpi, Próbny wëdrëk, cenie szaroscë, czôrnô tińta.
6318	System tłumaczenia wspomaganego komputerowo. Nie tłumacz tego, co zostało już przetłumaczone. @ title	@ title
6319	& Włącz automatyczne logowanie	& Włączë aùtomatné logòwanié
6320	Jeśli nie znaleziono więcej przypuszczalnych duplikatów lub jeśli nie znaleziono podobnego raportu, możesz wymusić znalezienie większej liczby raportów o błędach (tylko jeśli nie został określony zakres dat.) @ info/ rich	Jeżlë ni òstało nalazłé wicy prôwdopòdóbnych duplikatów, abò jeżlë ni òstôł nalazłi zblëżony rapòrt, mòżesz wëmùszëc nalezenié wikszy wielënë rapòrtów ò felach (blós jak nie òstôł òpisóny òbjim dat.) @ info/ rich
6321	LimburgiańskiName	LimbùrgańscziName
6322	Klondike (Rysuj 3)	Klondike (pò & 3 kôrtë)
6323	Menedżer okien o małych wymaganiachName	Menadżera òknów ò môłëch żądaniachName
6324	XDMCP: niepoprawna wersja XDMCP.	XMDXP: lëchô wersëjô XDMCP.
6325	& TakQDialogButtonBox	& JoQDialogButtonBox
6326	operacja utworzenia zwróciła 0	ùsôdzonô metoda dała nazôd 0
6327	Podstawowa szuflada	Pòdspòdlowô szëflôda
6328	Zmień & politykę...	Zmieni & pòlitikã...
6329	Przeglądarka dokumentówGenericName	Przezérnik dokùmentówGenericName
6330	Wyczyść historię zamkniętych kart	Wëczëszczë historëjã zamkniãtëch kôrtów
6331	Katalog zawierający katalogi tests, basedir i output. Istotne tylko, gdy nie użyto opcji - b.	Katalog zamëkający w se katalodżi tests, basedir ë output. Wôżné blós, czéj nie òsta ùżëtô òptacëjô - b.
6332	Konfiguracja Sonnet	Kònfigùracëjô Sonneta
6333	Jeśli ta opcja jest włączona, Konqueror będzie zapamiętywał dane wpisywane w formularzach WWW i proponował je w podobnych polach następnych formularzy.	Jeżlë na òptacëjô je włączonô, Konqueror bãdze pamiãtôł pòdôwczi wpisëwóné w fòrmùlôrach WWW ë bédowôł je w juwernëch pòlach nôslédnëch fòrmùlarów.
6334	Wyszukiwanie błędów DebianaQuery	Szëkba felów DebianaQuery
6335	Globalne skróty klawiszoweComment	Globalné klawiszowé skrodzënëComment
6336	Pokaż procent & naładowania akumulatora	Pòkażë & naladowanié baterëji w procentach
6337	Automatycznie zaloguj po awarii serwera & X	Aùtomatno wlogùjë pò awarëji serwerë & X
6338	Wiele monitorów Ten moduł pozwala skonfigurować obsługę wielu monitorów przez KDE.	Wiele mònitorów Nen moduł pòzwôlô skònfigùrowac òbsłëgã wielu mònitorów bez KDE.
6339	Usuń największe pliki z kosza@ info: whatsthis	Rëmôj nôwikszé lopczi z kòsza@ info: whatsthis
6340	Lista dokumentów	Lësta dokùmentów
6341	Użyj podanego, stałego koloru dla kursora	Brëkùjë swòji, stałi farwë dlô kùrsora
